soc_0.2C,soc_0.5C,soc_1.0C,soc_2.0C,v_0.2C,v_0.5C,v_1.0C,v_2.0C
100.0,,,,3.0,,,
99.92969423,,,,3.0504654660000003,,,
99.37252795,,,,3.135306835,,,
98.81536167,,,,3.2097943860000004,,,
98.14676214,,,,3.2775160710000004,,,
97.4781626,,,,3.327715909,,,
96.69812981,,,,3.386879722,,,
95.58379725,,,,3.447648248,,,
94.24659818,,,,3.4986681710000003,,,
92.35223283,,,,3.547499459,,,
89.90070121,,,,3.58690168,,,
87.40141247,,,,3.625033342,,,
84.99763795,,,,3.638988925,,,
82.32323981,,,,3.657546579,,,
79.79741934,,,,3.673999254,,,
77.08587678,,,,3.691616964,,,
74.77363673,,,,3.699464074,,,
72.26948384,,,,3.710371018,,,
69.66937453,,,,3.71763097,,,
66.72258399,,,,3.7230448,,,
63.60245283,,,,3.732181514,,,
60.59375492,,,,3.741181548,,,
58.30937318,,,,3.746040994,,,
56.09928027,,,,3.748906696,,,
53.63713595,,,,3.756616883,,,
51.07735487,,,,3.76517248,,,
48.75397149,,,,3.771466912,,,
46.40458701,,,,3.780709118,,,
43.64351856,,,,3.79315167,,,
41.31580166,,,,3.803877399,,,
38.86427003,,,,3.816779636,,,
36.30130515,,,,3.827758047,,,
33.93334846,,,,3.84217782,,,
31.36109747,,,,3.860487497,,,
29.05814352,,,,3.873167268,,,
26.73396418,,,,3.891029871,,,
24.15508026,,,,3.91265616,,,
21.70354864,,,,3.929902656,,,
19.50672159,,,,3.946922935,,,
16.80048538,,,,3.971129251,,,
14.25980715,,,,3.992267012,,,
11.89742212,,,,4.015831254,,,
9.445890493,,,,4.037856436,,,
6.870544136,,,,4.064978434,,,
4.542827237,,,,4.092115811,,,
2.282324047,,,,4.123319246,,,
0.575803329,,,,4.178283263,,,
0.0,,,,4.2,,,
,100.0,,,,3.0,,
,99.59539446,,,,3.0,,
,99.37252795,,,,3.036149107,,
,98.70392842,,,,3.0965036510000004,,
,97.81246237,,,,3.163436768,,
,97.03242958,,,,3.213043209,,
,96.25239679,,,,3.269817679,,
,95.36093074,,,,3.3218174030000003,,
,94.46946469,,,,3.3768038060000003,,
,93.24369888,,,,3.428900682,,
,91.23790028,,,,3.484764301,,
,88.78636865,,,,3.531117338,,
,86.7062812,,,,3.5558807530000003,,
,85.53888519,,,,3.577517133,,
,81.98894004,,,,3.609728097,,
,79.64884167,,,,3.637874746,,
,77.19731004,,,,3.652297474,,
,74.74577841,,,,3.663462006,,
,72.29424678,,,,3.676798669,,
,69.84271516,,,,3.690569757,,
,67.39118353,,,,3.701951503,,
,64.9396519,,,,3.706816859,,
,62.48812027,,,,3.712116641,,
,60.03658864,,,,3.717633636,,
,57.58505701,,,,3.720978501,,
,55.13352539,,,,3.726929922,,
,52.68199376,,,,3.735922325,,
,50.23046213,,,,3.745349154,,
,47.7789305,,,,3.754341557,,
,45.32739887,,,,3.761813469,,
,42.87586724,,,,3.770154232,,
,40.42433562,,,,3.782187617,,
,37.97280399,,,,3.797261984,,
,35.52127236,,,,3.81016422,,
,33.06974073,,,,3.821545966,,
,30.6182091,,,,3.837489184,,
,28.16667747,,,,3.857342236,,
,25.71514585,,,,3.873719881,,
,23.26361422,,,,3.892704081,,
,20.81208259,,,,3.914077624,,
,18.36055096,,,,3.932192973,,
,15.90901933,,,,3.953566516,,
,13.457487699999998,,,,3.97646055,,
,11.00595608,,,,3.998920158,,
,8.554424447,,,,4.024420748,,
,6.102892818,,,,4.050355764,,
,3.65136119,,,,4.081069465,,
,1.199829562,,,,4.119168408,,
,0.0,,,,4.2,,
,,99.03822818,,,,3.0,
,,99.03822818,,,,3.009878154,
,,98.4810619,,,,3.040461529,
,,97.58959586,,,,3.095149264,
,,96.69812981,,,,3.154117904,
,,95.58379725,,,,3.208116626,
,,94.46946469,,,,3.257734886,
,,93.02083237,,,,3.309896531,
,,91.12646702,,,,3.359559434,
,,88.67493539,,,,3.412132003,
,,86.31255037,,,,3.449011402,
,,83.88330539,,,,3.480245627,
,,81.06032958,,,,3.508028017,
,,78.75737562,,,,3.520852597,
,,76.58442713,,,,3.541703427,
,,73.40857934,,,,3.560333112,
,,70.95704771,,,,3.573886987,
,,68.57237604,,,,3.585831123,
,,64.97679632,,,,3.60085181,
,,62.71098678,,,,3.60871538,
,,60.21488185,,,,3.616710179,
,,57.80792353,,,,3.624310843,
,,55.3563919,,,,3.634823736,
,,52.38483841,,,,3.647092719,
,,49.9797373,,,,3.656137783,
,,48.02965533,,,,3.662180083,
,,45.32739887,,,,3.675362699,
,,42.96501385,,,,3.685655228,
,,39.47715294,,,,3.705191947,
,,37.46339482,,,,3.715204514,
,,34.62980631,,,,3.733302339,
,,32.15351174,,,,3.749222298,
,,29.85055778,,,,3.762577843,
,,26.8294784,,,,3.782330356,
,,24.55623998,,,,3.802428107,
,,22.32757487,,,,3.819232298,
,,19.67546338,,,,3.839635474,
,,17.41955902,,,,3.85991845,
,,14.57182026,,,,3.884178039,
,,12.43230175,,,,3.904642737,
,,9.445890493,,,,3.936200758,
,,7.189367063,,,,3.962291789,
,,4.565113888,,,,3.990937213,
,,2.0912956080000003,,,,4.030926697,
,,0.419796771,,,,4.081400925,
,,0.0,,,,4.2,
,,,93.24369888010963,,,,3.0
,,,93.24369888010963,,,,3.013667025044483
,,,92.24079957760958,,,,3.0602946669844133
,,,91.12646701927616,,,,3.1093155913507644
,,,89.67783469344275,,,,3.158006999700498
,,,87.78346934427593,,,,3.2140869957062024
,,,85.36908213455357,,,,3.270268813693093
,,,82.86802461473856,,,,3.3192060224190145
,,,80.51554476936803,,,,3.358315124390621
,,,78.08877608677528,,,,3.392262010578592
,,,75.70092060463223,,,,3.4179155014300022
,,,72.96284631844159,,,,3.4522311052366232
,,,70.42773974823308,,,,3.4780061660352413
,,,67.72548329427457,,,,3.496499640429228
,,,65.24609335198272,,,,3.507160137815112
,,,61.79475778936675,,,,3.5251690409128784
,,,59.256555850940636,,,,3.5329577690069827
,,,56.275716257398756,,,,3.542421411786848
,,,53.697274532143965,,,,3.547755848997616
,,,51.20550311698175,,,,3.5539500403639943
,,,48.586821604898226,,,,3.564197327197613
,,,45.93232226058258,,,,3.5763232211422
,,,43.62804172031456,,,,3.5840847162492584
,,,40.969120421402344,,,,3.593868831255268
,,,38.641403521772546,,,,3.6019638700527405
,,,36.004149800383466,,,,3.61501748123996
,,,33.738340265105535,,,,3.628159326623028
,,,31.39824189260539,,,,3.642159979573096
,,,28.89099363635521,,,,3.653299330422241
,,,26.439462008021717,,,,3.6671247222168417
,,,23.39096650915245,,,,3.6890779178073423
,,,21.397107181563026,,,,3.6998577838475812
,,,18.682469254734137,,,,3.7189025722424898
,,,16.221032448104335,,,,3.7391662658336746
,,,13.927983672511585,,,,3.757300145986544
,,,11.625029718622534,,,,3.775168893781721
,,,8.777290958437153,,,,3.804810537768698
,,,6.3257593301036525,,,,3.829225062723295
,,,3.874227701770149,,,,3.868410070854913
,,,1.9798623526033496,,,,3.917675785126008
,,,0.7540965384365991,,,,3.9705235976389033
,,,0.06308067100790105,,,,4.028852453693919
,,,0.0,,,,4.028852453693919
